treated_repo,control_repo,language,adoption_date,adoption_month,treated_created_at,control_created_at,metadata_distance,treated_pre_commits,control_pre_commits,treated_age_at_index_days,control_age_at_index_days,diff_log_pre_commits,diff_age_days,refined_distance
lc/gau,darjun/go-daily-lib,Go,2021-08-11 00:00:00+00:00,2021-08-01,2020-02-25 01:10:17,2020-01-12 14:48:37,0.2241309455776577,37,36,522,566,0.02666824708216131,44,0.3312712951573567
geokit/geokit,geokit/geokit-rails,Ruby,2021-07-27 00:00:00+00:00,2021-07-01,2008-12-01 05:49:32,2008-12-19 01:56:49,0.4590447986412727,9,10,4594,4576,0.09531017980432477,18,0.43101600110647476
hluk/CopyQ,AutoHotkey/AutoHotkey,C++,2020-11-23 00:00:00+00:00,2020-11-01,2009-10-21 13:35:38,2009-11-25 11:08:21,0.7027642088474594,421,386,4028,3993,0.0865806210062301,35,0.44834823450193456
Xabaril/AspNetCore.Diagnostics.HealthChecks,GhostPack/Seatbelt,C#,2021-10-18 00:00:00+00:00,2021-10-01,2018-09-27 10:50:21,2018-07-24 17:38:51,0.16468584596566188,115,107,1099,1164,0.07145896398214457,65,0.553048662235851
Neargye/magic_enum,0xZ0F/Z0FCourse_ReverseEngineering,C++,2020-11-24 00:00:00+00:00,2020-11-01,2019-03-30 21:25:29,2019-06-03 12:27:17,0.0843060932618034,107,117,581,516,0.08855339734144518,65,0.5974455170017059
BehaviorTree/BehaviorTree.CPP,ShahjalalShohag/code-library,C++,2020-06-02 00:00:00+00:00,2020-06-01,2018-10-16 16:19:58,2018-11-18 08:49:47,0.212171735614627,142,166,593,560,0.15514918215684848,33,0.7097579771853665
elasticsearch-dump/elasticsearch-dump,jagenjo/litegraph.js,JavaScript,2022-07-06 00:00:00+00:00,2022-07-01,2013-12-19 19:42:31,2013-09-26 17:39:05,0.051975639917838816,67,74,3115,3199,0.09798040836020316,84,0.7285813751029793
caarlos0/env,dvyukov/go-fuzz,Go,2020-06-23 00:00:00+00:00,2020-06-01,2015-07-28 02:14:37,2015-04-15 13:07:50,0.5502024763831057,17,17,1769,1873,0.0,104,0.7340987369903889
brave/adblock-rust,trickster0/OffensiveRust,Rust,2022-04-18 00:00:00+00:00,2022-04-01,2019-03-18 19:11:43,2019-05-07 23:12:20,0.3503595913895992,78,95,1109,1059,0.1949003390008146,50,0.913181048311788
wazero/wazero,blushft/go-diagrams,Go,2021-10-07 00:00:00+00:00,2021-10-01,2020-05-04 10:16:32,2020-09-12 19:59:52,0.6017609276639923,5,5,514,383,0.0,131,0.9246820629398167
