treated_repo,control_repo,adoption_date,reference_month
getsops/sops,jagenjo/litegraph.js,2021-01-05 00:00:00+00:00,2021-01-01
google/recaptcha,zhaoolee/ChromeAppHeroes,2023-02-20 00:00:00+00:00,2023-02-01
PaddlePaddle/PaddleOCR,jondot/awesome-react-native,2024-03-27 00:00:00+00:00,2024-03-01
Foso/Ktorfit,jwise/HoRNDIS,2022-04-13 00:00:00+00:00,2022-04-01
w4po/ExplorerTabUtility,AndroidCoderPeng/DailyTask,2025-01-27 00:00:00+00:00,2025-01-01
bitwarden/android,k8gege/Ladon,2023-07-14 00:00:00+00:00,2023-07-01
WSTxda/SwitchAI,Fuzion24/JustTrustMe,2025-05-25 00:00:00+00:00,2025-05-01
remix-run/history,zai-org/ChatGLM2-6B,2021-08-13 00:00:00+00:00,2021-08-01
PaddlePaddle/PaddleFormers,shekhargulati/52-technologies-in-2016,2025-06-25 00:00:00+00:00,2025-06-01
termux/termux-x11,cobbr/Covenant,2021-08-26 00:00:00+00:00,2021-08-01
rt-bishop/Look4Sat,magnusvk/counter_culture,2021-03-07 00:00:00+00:00,2021-03-01
subframe7536/maple-font,XiaoMi/mace,2024-12-03 00:00:00+00:00,2024-12-01
usefathom/fathom,pluosi/app-host,2022-03-26 00:00:00+00:00,2022-03-01
jorgebucaran/hyperapp,jmoiron/sqlx,2020-01-28 00:00:00+00:00,2020-01-01
firebase/firebase-ios-sdk,symfony/yaml,2020-01-03 00:00:00+00:00,2020-01-01
ggerganov/kbd-audio,vifreefly/kimuraframework,2020-01-12 00:00:00+00:00,2020-01-01
sharish/ShimmerRecyclerView,pojala/electrino,2020-11-06 00:00:00+00:00,2020-11-01
tj/commander.js,nateware/redis-objects,2019-08-30 00:00:00+00:00,2019-08-01
slim-template/slim,t4t5/sweetalert,2022-10-25 00:00:00+00:00,2022-10-01
yarnpkg/yarn,laochiangx/Common.Utility,2024-05-24 00:00:00+00:00,2024-05-01
domaindrivendev/Swashbuckle.AspNetCore,antirez/sds,2024-04-03 00:00:00+00:00,2024-04-01
anggrayudi/android-hidden-api,jaredreich/pell,2025-01-17 00:00:00+00:00,2025-01-01
koajs/koa,muaz-khan/WebRTC-Experiment,2021-08-18 00:00:00+00:00,2021-08-01
kittinunf/fuel,dotnet/spark,2020-04-22 00:00:00+00:00,2020-04-01
docker/compose,id-Software/DOOM,2020-04-30 00:00:00+00:00,2020-04-01
rime/weasel,ihsanbal/LoggingInterceptor,2023-02-12 00:00:00+00:00,2023-02-01
chillerlan/php-qrcode,proninyaroslav/libretorrent,2019-11-15 00:00:00+00:00,2019-11-01
elasticsearch-dump/elasticsearch-dump,ruanyf/es6tutorial,2022-07-06 00:00:00+00:00,2022-07-01
lisawray/groupie,raulmur/ORB_SLAM2,2023-09-30 00:00:00+00:00,2023-09-01
jwtk/jjwt,livoras/blog,2021-12-14 00:00:00+00:00,2021-12-01
dompdf/php-font-lib,eranyanay/1m-go-websockets,2021-12-02 00:00:00+00:00,2021-12-01
