repo_full_name,reference_month,pre_commits
jwise/HoRNDIS,2021-08-01,0
zhaoolee/ChromeAppHeroes,2023-05-01,12
AndroidCoderPeng/DailyTask,2022-02-01,0
zai-org/ChatGLM2-6B,2025-08-01,0
jondot/awesome-react-native,2020-03-01,193
brynary/rack-bug,2021-10-01,0
Fuzion24/JustTrustMe,2023-05-01,2
zai-org/ChatGLM-6B,2024-12-01,3
k8gege/Ladon,2022-08-01,14
jagenjo/litegraph.js,2020-11-01,155
cobbr/Covenant,2022-05-01,0
shekhargulati/52-technologies-in-2016,2024-03-01,0
raganwald-deprecated/homoiconic,2022-09-01,0
pluosi/app-host,2025-02-01,0
XiaoMi/mace,2021-05-01,196
jmoiron/sqlx,2020-09-01,24
vifreefly/kimuraframework,2025-04-01,0
gcc-mirror/gcc,2021-10-01,8684
BluePointLilac/ContextMenuManager,2025-08-01,0
nateware/redis-objects,2021-10-01,12
oss-bandb/GraphView,2020-01-01,18
symfony/yaml,2020-06-01,211
pojala/electrino,2020-11-01,6
magnusvk/counter_culture,2022-09-01,15
liuyubobobo/Play-with-Algorithms,2023-03-01,0
t4t5/sweetalert,2021-09-01,1
rstacruz/nprogress,2022-01-01,0
laochiangx/Common.Utility,2025-05-01,0
antirez/sds,2022-05-01,0
yixia/VitamioBundle,2024-01-01,0
jaredreich/pell,2020-03-01,1
Kintaro/wtftw,2022-10-01,0
muaz-khan/WebRTC-Experiment,2020-03-01,8
ihsanbal/LoggingInterceptor,2025-05-01,0
id-Software/DOOM,2024-04-01,1
raulmur/ORB_SLAM2,2021-01-01,0
ruanyf/es6tutorial,2022-01-01,74
livoras/blog,2024-03-01,0
dotnet/spark,2023-12-01,5
jeasonlzy/okhttp-OkGo,2019-11-01,0
eranyanay/1m-go-websockets,2024-09-01,0
jgilfelt/chuck,2023-05-01,0
jiangdongguo/AndroidUSBCamera,2022-09-01,145
proninyaroslav/libretorrent,2025-01-01,154
vektah/CodeGlance,2024-03-01,0
BrianLima/UWPHook,2019-09-01,0
microsoft/Windows-universal-samples,2023-01-01,4
orhanobut/dialogplus,2020-10-01,0
oneHamidreza/MeowBottomNavigation,2023-10-01,0
ffay/lanproxy,2022-01-01,17
nageoffer/12306,2025-03-01,44
charlax/professional-programming,2023-06-01,43
google/gopacket,2020-08-01,26
tnodir/fort,2020-05-01,333
Evernote/android-job,2021-06-01,0
freshshell/fresh,2021-03-01,28
wuyr/GoogleLibraryVersionQuerier,2021-09-01,0
ogham/dog,2022-07-01,11
openshift/origin,2021-04-01,1255
tmk/tmk_keyboard,2022-02-01,92
zhaoolee/ChineseBQB,2021-03-01,179
Nukem9/dlssg-to-fsr3,2025-05-01,72
loveBabbar/CodeHelp-DSA-Busted-Series,2024-06-01,0
hackware1993/MagicIndicator,2022-01-01,0
dvyukov/go-fuzz,2021-03-01,12
davidfowl/AspNetCoreDiagnosticScenarios,2020-09-01,5
Unity-Technologies/FPSSample,2021-07-01,1
material-components/material-components-android,2020-12-01,856
justinfrankel/licecap,2020-03-01,196
immortalwrt/immortalwrt,2022-06-01,3263
adisonhuang/awesome-kotlin-android,2019-09-01,1
DroidKaigi/conference-app-2018,2022-08-01,0
ffffffff0x/1earn,2022-05-01,31
fireice-uk/xmr-stak,2020-07-01,60
didi/DoKit,2020-05-01,852
altmann/FluentResults,2021-07-01,84
goldfire/howler.js,2020-05-01,22
ashishps1/awesome-leetcode-resources,2025-03-01,62
antoniolg/Kotlin-for-Android-Developers,2020-11-01,2
devopsgroup-io/vagrant-hostmanager,2020-08-01,0
sephiroth74/android-target-tooltip,2020-10-01,0
luontola/retrolambda,2020-07-01,7
helei112g/payment,2020-02-01,38
Yorko/mlcourse.ai,2023-11-01,15
apple/ml-stable-diffusion,2024-06-01,51
symfony/polyfill-intl-idn,2022-04-01,2
nemoTyrant/manong,2020-12-01,0
yudaocode/SpringBoot-Labs,2021-12-01,14
CodeSeven/toastr,2022-01-01,0
asmuth/recommendify,2025-04-01,0
hasherezade/pe-bear,2023-11-01,173
gali8/Tesseract-OCR-iOS,2023-07-01,0
elvirbrk/NoteHighlight2016,2020-09-01,0
attractivechaos/klib,2021-08-01,8
WebKit/WebKit,2025-06-01,16057
spatie/dashboard.spatie.be,2021-01-01,176
phacility/xhprof,2020-02-01,0
