month,commits,repo_name,pair_id,treated,index_month,event_month,post,did,log_commits
2020-07-01,0,geokit/geokit-rails,1,0,2021-07-01,-12,0,0,0.0
2020-08-01,0,geokit/geokit-rails,1,0,2021-07-01,-11,0,0,0.0
2020-09-01,2,geokit/geokit-rails,1,0,2021-07-01,-10,0,0,1.0986122886681096
2020-10-01,0,geokit/geokit-rails,1,0,2021-07-01,-9,0,0,0.0
2020-11-01,0,geokit/geokit-rails,1,0,2021-07-01,-8,0,0,0.0
2020-12-01,0,geokit/geokit-rails,1,0,2021-07-01,-7,0,0,0.0
2021-01-01,6,geokit/geokit-rails,1,0,2021-07-01,-6,0,0,1.9459101490553132
2021-02-01,2,geokit/geokit-rails,1,0,2021-07-01,-5,0,0,1.0986122886681096
2021-03-01,0,geokit/geokit-rails,1,0,2021-07-01,-4,0,0,0.0
2021-04-01,0,geokit/geokit-rails,1,0,2021-07-01,-3,0,0,0.0
2021-05-01,0,geokit/geokit-rails,1,0,2021-07-01,-2,0,0,0.0
2021-06-01,0,geokit/geokit-rails,1,0,2021-07-01,-1,0,0,0.0
2021-08-01,0,geokit/geokit-rails,1,0,2021-07-01,1,1,0,0.0
2021-09-01,0,geokit/geokit-rails,1,0,2021-07-01,2,1,0,0.0
2021-10-01,0,geokit/geokit-rails,1,0,2021-07-01,3,1,0,0.0
2021-11-01,0,geokit/geokit-rails,1,0,2021-07-01,4,1,0,0.0
2021-12-01,0,geokit/geokit-rails,1,0,2021-07-01,5,1,0,0.0
2022-01-01,1,geokit/geokit-rails,1,0,2021-07-01,6,1,0,0.6931471805599453
2022-02-01,0,geokit/geokit-rails,1,0,2021-07-01,7,1,0,0.0
2022-03-01,0,geokit/geokit-rails,1,0,2021-07-01,8,1,0,0.0
2022-04-01,0,geokit/geokit-rails,1,0,2021-07-01,9,1,0,0.0
2022-05-01,0,geokit/geokit-rails,1,0,2021-07-01,10,1,0,0.0
2022-06-01,0,geokit/geokit-rails,1,0,2021-07-01,11,1,0,0.0
2022-07-01,0,geokit/geokit-rails,1,0,2021-07-01,12,1,0,0.0
2020-07-01,1,geokit/geokit,1,1,2021-07-01,-12,0,0,0.6931471805599453
2020-08-01,0,geokit/geokit,1,1,2021-07-01,-11,0,0,0.0
2020-09-01,0,geokit/geokit,1,1,2021-07-01,-10,0,0,0.0
2020-10-01,0,geokit/geokit,1,1,2021-07-01,-9,0,0,0.0
2020-11-01,0,geokit/geokit,1,1,2021-07-01,-8,0,0,0.0
2020-12-01,0,geokit/geokit,1,1,2021-07-01,-7,0,0,0.0
2021-01-01,0,geokit/geokit,1,1,2021-07-01,-6,0,0,0.0
2021-02-01,0,geokit/geokit,1,1,2021-07-01,-5,0,0,0.0
2021-03-01,0,geokit/geokit,1,1,2021-07-01,-4,0,0,0.0
2021-04-01,0,geokit/geokit,1,1,2021-07-01,-3,0,0,0.0
2021-05-01,0,geokit/geokit,1,1,2021-07-01,-2,0,0,0.0
2021-06-01,8,geokit/geokit,1,1,2021-07-01,-1,0,0,2.1972245773362196
2021-08-01,0,geokit/geokit,1,1,2021-07-01,1,1,1,0.0
2021-09-01,0,geokit/geokit,1,1,2021-07-01,2,1,1,0.0
2021-10-01,1,geokit/geokit,1,1,2021-07-01,3,1,1,0.6931471805599453
2021-11-01,0,geokit/geokit,1,1,2021-07-01,4,1,1,0.0
2021-12-01,0,geokit/geokit,1,1,2021-07-01,5,1,1,0.0
2022-01-01,0,geokit/geokit,1,1,2021-07-01,6,1,1,0.0
2022-02-01,0,geokit/geokit,1,1,2021-07-01,7,1,1,0.0
2022-03-01,1,geokit/geokit,1,1,2021-07-01,8,1,1,0.6931471805599453
2022-04-01,0,geokit/geokit,1,1,2021-07-01,9,1,1,0.0
2022-05-01,0,geokit/geokit,1,1,2021-07-01,10,1,1,0.0
2022-06-01,0,geokit/geokit,1,1,2021-07-01,11,1,1,0.0
2022-07-01,0,geokit/geokit,1,1,2021-07-01,12,1,1,0.0
2020-08-01,0,darjun/go-daily-lib,0,0,2021-08-01,-12,0,0,0.0
2020-09-01,6,darjun/go-daily-lib,0,0,2021-08-01,-11,0,0,1.9459101490553132
2020-10-01,5,darjun/go-daily-lib,0,0,2021-08-01,-10,0,0,1.791759469228055
2020-11-01,1,darjun/go-daily-lib,0,0,2021-08-01,-9,0,0,0.6931471805599453
2020-12-01,0,darjun/go-daily-lib,0,0,2021-08-01,-8,0,0,0.0
2021-01-01,0,darjun/go-daily-lib,0,0,2021-08-01,-7,0,0,0.0
2021-02-01,0,darjun/go-daily-lib,0,0,2021-08-01,-6,0,0,0.0
2021-03-01,0,darjun/go-daily-lib,0,0,2021-08-01,-5,0,0,0.0
2021-04-01,0,darjun/go-daily-lib,0,0,2021-08-01,-4,0,0,0.0
2021-05-01,3,darjun/go-daily-lib,0,0,2021-08-01,-3,0,0,1.3862943611198906
2021-06-01,9,darjun/go-daily-lib,0,0,2021-08-01,-2,0,0,2.302585092994046
