month,commits,repo_name,pair_id,treated,index_month,event_month,post,did,log_commits
2022-02-01,1,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,-12,0,0,0.6931471805599453
2022-03-01,0,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,-11,0,0,0.0
2022-04-01,0,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,-10,0,0,0.0
2022-05-01,3,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,-9,0,0,1.3862943611198906
2022-06-01,0,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,-8,0,0,0.0
2022-07-01,4,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,-7,0,0,1.6094379124341003
2022-08-01,0,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,-6,0,0,0.0
2022-09-01,0,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,-5,0,0,0.0
2022-10-01,1,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,-4,0,0,0.6931471805599453
2022-11-01,0,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,-3,0,0,0.0
2022-12-01,0,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,-2,0,0,0.0
2023-01-01,0,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,-1,0,0,0.0
2023-03-01,1,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,1,1,0,0.6931471805599453
2023-04-01,3,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,2,1,0,1.3862943611198906
2023-05-01,2,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,3,1,0,1.0986122886681096
2023-06-01,0,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,4,1,0,0.0
2023-07-01,0,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,5,1,0,0.0
2023-08-01,2,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,6,1,0,1.0986122886681096
2023-09-01,0,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,7,1,0,0.0
2023-10-01,5,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,8,1,0,1.791759469228055
2023-11-01,0,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,9,1,0,0.0
2023-12-01,5,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,10,1,0,1.791759469228055
2024-01-01,0,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,11,1,0,0.0
2024-02-01,0,zhaoolee/ChromeAppHeroes,1,0,2023-02-01,12,1,0,0.0
2022-02-01,0,google/recaptcha,1,1,2023-02-01,-12,0,0,0.0
2022-03-01,0,google/recaptcha,1,1,2023-02-01,-11,0,0,0.0
2022-04-01,1,google/recaptcha,1,1,2023-02-01,-10,0,0,0.6931471805599453
2022-05-01,0,google/recaptcha,1,1,2023-02-01,-9,0,0,0.0
2022-06-01,0,google/recaptcha,1,1,2023-02-01,-8,0,0,0.0
2022-07-01,0,google/recaptcha,1,1,2023-02-01,-7,0,0,0.0
2022-08-01,0,google/recaptcha,1,1,2023-02-01,-6,0,0,0.0
2022-09-01,0,google/recaptcha,1,1,2023-02-01,-5,0,0,0.0
2022-10-01,0,google/recaptcha,1,1,2023-02-01,-4,0,0,0.0
2022-11-01,0,google/recaptcha,1,1,2023-02-01,-3,0,0,0.0
2022-12-01,0,google/recaptcha,1,1,2023-02-01,-2,0,0,0.0
2023-01-01,1,google/recaptcha,1,1,2023-02-01,-1,0,0,0.6931471805599453
2023-03-01,0,google/recaptcha,1,1,2023-02-01,1,1,1,0.0
2023-04-01,0,google/recaptcha,1,1,2023-02-01,2,1,1,0.0
2023-05-01,0,google/recaptcha,1,1,2023-02-01,3,1,1,0.0
2023-06-01,0,google/recaptcha,1,1,2023-02-01,4,1,1,0.0
2023-07-01,0,google/recaptcha,1,1,2023-02-01,5,1,1,0.0
2023-08-01,0,google/recaptcha,1,1,2023-02-01,6,1,1,0.0
2023-09-01,0,google/recaptcha,1,1,2023-02-01,7,1,1,0.0
