repo_full_name,adoption_date,status,created_at,has_post_window,has_pre_window
killme2008/aviatorscript,2023-05-15 00:00:00+00:00,ok,2011-03-29 12:48:47+00:00,True,True
albertlauncher/albert,2023-05-05 00:00:00+00:00,ok,2014-07-25 14:08:30+00:00,True,True
psf/requests,2020-10-01 00:00:00+00:00,ok,2011-02-13 18:38:17+00:00,True,True
wangeditor-team/wangEditor,2021-07-25 00:00:00+00:00,ok,2014-11-06 09:26:47+00:00,True,True
Kotlin/dokka,2020-05-19 00:00:00+00:00,ok,2014-07-12 09:15:22+00:00,True,True
Shopify/shopify_app,2020-05-23 00:00:00+00:00,ok,2008-10-09 15:10:52+00:00,True,True
php-embed/Embed,2021-04-04 00:00:00+00:00,ok,2012-10-09 21:14:58+00:00,True,True
dotnet/machinelearning,2023-12-01 00:00:00+00:00,ok,2018-05-03 16:20:42+00:00,True,True
QueueClassic/queue_classic,2022-05-18 00:00:00+00:00,ok,2011-01-26 04:50:39+00:00,True,True
endless-sky/endless-sky,2020-01-19 00:00:00+00:00,ok,2015-03-14 20:44:39+00:00,True,True
apache/hudi,2020-07-23 00:00:00+00:00,ok,2016-12-14 15:53:41+00:00,True,True
gruns/icecream,2022-11-12 00:00:00+00:00,ok,2018-02-13 18:56:12+00:00,True,True
hirschmann/nbfc,2019-11-15 00:00:00+00:00,ok,2015-02-24 19:07:44+00:00,True,True
sorbet/sorbet,2025-02-18 00:00:00+00:00,ok,2018-06-26 18:13:06+00:00,True,True
bytedance/xgplayer,2023-01-07 00:00:00+00:00,ok,2018-05-16 12:01:55+00:00,True,True
lihenggui/blocker,2022-03-05 00:00:00+00:00,ok,2017-12-26 11:45:16+00:00,True,True
Sonarr/Sonarr,2021-01-21 00:00:00+00:00,ok,2011-09-27 05:57:16+00:00,True,True
ruflin/Elastica,2020-12-01 00:00:00+00:00,ok,2010-10-19 17:04:21+00:00,True,True
spatie/laravel-translatable,2020-01-20 00:00:00+00:00,ok,2016-04-07 11:49:51+00:00,True,True
greenshot/greenshot,2025-05-16 00:00:00+00:00,ok,2015-06-02 19:34:01+00:00,True,True
stakater/Reloader,2021-01-18 00:00:00+00:00,ok,2018-07-04 13:42:50+00:00,True,True
mmp/pbrt-v4,2020-08-19 00:00:00+00:00,ok,2017-07-28 14:11:20+00:00,True,True
